,LEAD_TYPE_CD,Lead Description,product_nm,PROPOSITION
0,AKINT,BB Away Payment - INT Child 1,,Credit Card Balance Transfer (Interstitial)
1,AOINT,BB Headroom - INT Child 1,,Credit Card Balance Transfer (Interstitial)
2,ASINT,Asset Finance Refi INT,Car Finance,Asset Finance Car Loan - REFI - (Interstitial)
3,ASINT,Asset Finance Refi INT,Loans - New,Asset Finance Car Loan - REFI - (Interstitial)
4,AWINT,Struct Lend Car Loan Refi INT,Car Finance,Structured Lending Car Loan - REFI - (Interstitial)
5,AWINT,Struct Lend Car Loan Refi INT,Loans - New,Structured Lending Car Loan - REFI - (Interstitial)
6,BAINT,Fully Personalised Recent SVR,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
7,BC101,RTIM BT Broadcast Message - Not Personalised,,Credit Card Balance Transfer
8,BC103,RTIM Loan Refinance Broadcast Message - Not Personalised,Loans - New,Loan Refinance (Hyperlink)
9,BC105,RTIM Loan Refinance Broadcast Message - EAL Test,Loans - New,Loan Refinance (Hyperlink)
10,BC106,RTIM Loan Refinance Broadcast Message - EAL Control,Loans - New,Loan Refinance (Hyperlink)
11,BC112,Non Tailored Messaging - Creditworthiness ,Credit Cards,"Non-tailored messenging, credit worthiness"
12,BC113,Non Tailored Messaging - Loan Calculator,Loans - New,Loan Calculator Non Tailored Marketing
13,BC114,Non-Tailored Credit Card Eligibility Lead,Credit Cards,Credit Card Eligibility - Non Tailored Marketing
14,BC115,Non-Tailored Marketing Mortgages Calculator Lead,Mortgages Application,Non Tailored Messaging  Mortgages
15,BC116,Non-Tailored Marketing - Car Finance Lead,Loans - New,Car Finance Calculator - Non-tailored Marketing
16,BCBT1,BTMT offer (Dual/triple/quad) - Explanatory,,Credit Card Balance Transfer
17,BCBT2,BT Offer (BT/Double BT) - Explanatory,,Credit Card Balance Transfer and Money Transfer
18,BCBT3,"Standard offer (Open Credit Card, no BT Offer) - Not Personalised",,Credit Card Balance Transfer
